node_id,D0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F1,F2,F3,F4,F5,F6,F7,F8,F9
D0,0.0,0.7811988619080911,8.93497464863876,13.717768766402793,39.14650816158719,7.808802129366749,9.936546954607325,8.244648935531323,25.392931743292095,39.132651483406555,15.006550803543256,24.258882296658385,14.692032921493672,24.5532772478883,24.566048697735617,7.808802030146963,15.036229167866153,24.13398130684513,16.374786111423816
S1,0.7811988619080911,0.0,9.08174356098984,13.143595750844588,38.913063820915696,7.031473675228073,10.415468237087866,8.303085871748426,25.940730944964518,39.12559203793343,14.251488216007841,24.15311919693082,13.936345314521825,24.46273132185289,24.476732367055767,7.031473576172153,14.281909213458327,24.04757681945256,15.644557615239417
S2,8.93497464863876,9.08174356098984,0.0,11.566865924387292,31.38808589591854,12.166686056766695,17.47479690532688,17.114812083637926,31.658495154114693,48.00881639217724,16.629695248582067,33.193756402291676,16.390218895199055,33.48758762284198,33.50020234079482,12.166685978232337,16.625890268404873,33.06774246049023,16.953352561517722
S3,13.717768766402793,13.143595750844588,11.566865924387292,0.0,28.19828869126308,8.728622350329363,23.52011078690864,20.270304205929293,39.08294434347442,49.158937555376966,6.845630000995464,33.73399348141332,6.767086775552135,34.17397432611132,34.19900121562333,8.728622373441212,6.808461492726744,33.81980201385887,6.133473416930219
S4,39.14650816158719,38.913063820915696,31.38808589591854,28.19828869126308,0.0,36.757830857410745,48.68850084351948,47.1150516377596,62.965308472393495,77.20295312237408,33.58483646619441,61.79617818870842,33.688452225513984,62.2129907881828,62.23584417316692,36.757830863430456,33.52630327281364,61.8425238932423,31.730241504480283
S5,7.808802129366749,7.031473675228073,12.166686056766695,8.728622350329363,36.757830857410745,0.0,16.20097128051866,12.026815026919774,31.72538430735993,40.477354789067384,7.398156557588124,25.05545556520461,7.080120802278643,25.484558868627815,25.508669447264914,1.00364374952109e-07,7.436484179568362,25.123629438248095,9.054448497212471
S6,9.936546954607325,10.415468237087866,17.47479690532688,23.52011078690864,48.68850084351948,16.20097128051866,0.0,5.623421335661164,15.608547315292011,31.78320257237874,23.54021119900364,18.569821853174986,23.224561965840152,18.6634241635767,18.660973937899602,16.20097119934558,23.5832765610228,18.22841446021335,25.25530249535106
S7,8.244648935531323,8.303085871748426,17.114812083637926,20.270304205929293,47.1150516377596,12.026815026919774,5.623421335661164,0.0,20.07860907250724,30.899395632937505,19.016680815443593,16.213589759284503,18.711294782107217,16.465782193163076,16.475420751267553,12.02681496449255,19.066163975468104,16.038046262341837,20.900953493041794
S8,25.392931743292095,25.940730944964518,31.658495154114693,39.08294434347442,62.965308472393495,31.72538430735993,15.608547315292011,20.07860907250724,0.0,27.760156815373776,38.973676776829834,22.02138451675198,38.661987741255835,21.697377596883587,21.666765131125405,31.725384230604664,39.01999529639371,21.419513833600732,40.764932586652165
S9,39.132651483406555,39.12559203793343,48.00881639217724,49.158937555376966,77.20295312237408,40.477354789067384,31.78320257237874,30.899395632937505,27.760156815373776,0.0,45.03835147047839,15.425138898545775,44.83112595825607,14.993542079776935,14.969911264669811,40.477354777265425,45.09992092824604,15.360582125056027,47.13396602965833
F1,15.006550803543256,14.251488216007841,16.629695248582067,6.845630000995464,33.58483646619441,7.398156557588124,23.54021119900364,19.016680815443593,38.973676776829834,45.03835147047839,0.0,29.78258499255918,0.3180929034140354,30.277981949205216,30.30830515483901,7.398156646779589,0.06169426067218668,29.974297195446425,2.1041327302623376
F2,24.258882296658385,24.15311919693082,33.193756402291676,33.73399348141332,61.79617818870842,25.05545556520461,18.569821853174986,16.213589759284503,22.02138451675198,15.425138898545775,29.78258499255918,0.0,29.561010878155283,0.5656297751937109,0.6055989235814946,25.055455554392587,29.84379184416032,0.6138984365571657,31.88584311737965
F3,14.692032921493672,13.936345314521825,16.390218895199055,6.767086775552135,33.688452225513984,7.080120802278643,23.224561965840152,18.711294782107217,38.661987741255835,44.83112595825607,0.3180929034140354,29.561010878155283,0.0,30.054320412778544,30.084435099075332,7.080120891431738,0.3587426982093681,29.748288773175798,2.343673818998889
F4,24.5532772478883,24.46273132185289,33.48758762284198,34.17397432611132,62.2129907881828,25.484558868627815,18.6634241635767,16.465782193163076,21.697377596883587,14.993542079776935,30.277981949205216,0.5656297751937109,30.054320412778544,0.0,0.041086164577187084,25.484558856361794,30.33911597243918,0.4369555851880571,32.381691388139636
F5,24.566048697735617,24.476732367055767,33.50020234079482,34.19900121562333,62.23584417316692,25.508669447264914,18.660973937899602,16.475420751267553,21.666765131125405,14.969911264669811,30.30830515483901,0.6055989235814946,30.084435099075332,0.041086164577187084,0.0,25.508669434868928,30.36943156734568,0.4402113436241187,32.412051092756236
F6,7.808802030146963,7.031473576172153,12.166685978232337,8.728622373441212,36.757830863430456,1.00364374952109e-07,16.20097119934558,12.02681496449255,31.725384230604664,40.477354777265425,7.398156646779589,25.055455554392587,7.080120891431738,25.484558856361794,25.508669434868928,0.0,7.436484268457982,25.12362942501309,9.054448578008826
F7,15.036229167866153,14.281909213458327,16.625890268404873,6.808461492726744,33.52630327281364,7.436484179568362,23.5832765610228,19.066163975468104,39.01999529639371,45.09992092824604,0.06169426067218668,29.84379184416032,0.3587426982093681,30.33911597243918,30.36943156734568,7.436484268457982,0.0,30.03534149137295,2.0432076488205912
F8,24.13398130684513,24.04757681945256,33.06774246049023,33.81980201385887,61.8425238932423,25.123629438248095,18.22841446021335,16.038046262341837,21.419513833600732,15.360582125056027,29.974297195446425,0.6138984365571657,29.748288773175798,0.4369555851880571,0.4402113436241187,25.12362942501309,30.03534149137295,0.0,32.07832532699013
F9,16.374786111423816,15.644557615239417,16.953352561517722,6.133473416930219,31.730241504480283,9.054448497212471,25.25530249535106,20.900953493041794,40.764932586652165,47.13396602965833,2.1041327302623376,31.88584311737965,2.343673818998889,32.381691388139636,32.412051092756236,9.054448578008826,2.0432076488205912,32.07832532699013,0.0
